Korean|English|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
있다1|to be/to have|책이 있다|there is a book|시간이 있어요|I have time
것1|thing|좋은 것|good thing|할 것|thing to do
스케이트|skate|스케이트를 타다|to skate|스케이트장|skating rink
하다1|to do|숙제를 하다|to do homework|일을 하다|to work
되다1|to become|어른이 되다|to become an adult|의사가 되다|to become a doctor
공원3|park|공원에 가다|to go to the park|공원을 산책하다|to walk in the park
수2|way/method|좋은 수|good way|다른 수|another method
나3|I/me|나는 학생이다|I am a student|나를 도와줘|help me
자르다1|to cut|머리를 자르다|to cut hair|종이를 자르다|to cut paper
그1|the/that|그 사람|that person|그 때|at that time
없다1|to not have|시간이 없다|don't have time|돈이 없어요|I don't have money
슈퍼마켓|supermarket|슈퍼마켓에 가다|to go to the supermarket|슈퍼마켓에서 사다|to buy at the supermarket
않다|to not|하지 않다|to not do|오지 않았어요|didn't come
사람|person|좋은 사람|good person|많은 사람|many people
고속버스터미널|express bus terminal|고속버스터미널에 가다|to go to the express bus terminal|고속버스터미널에서 만나다|to meet at the express bus terminal
같다|to be the same|나와 같다|same as me|똑같은 것|the same thing
우리3|we/us|우리는 친구다|we are friends|우리 집|our house
바다|sea/ocean|바다에 가다|to go to the sea|바다가 보이다|the sea is visible
이3|tooth|이가 아프다|tooth hurts|이를 닦다|to brush teeth
이5|this|이 책|this book|이것은|this is
저것|that|저것이 뭐예요|what is that|저것을 주세요|please give me that
거1|thing|할 거예요|will do|좋은 거|good thing
아니다|to not be|학생이 아니다|not a student|그게 아니에요|that's not it
역사4|history|한국 역사|Korean history|역사를 공부하다|to study history
아2|ah/oh|아 그래요|oh I see|아 맞다|oh right
보다1|to see|영화를 보다|to watch a movie|친구를 보다|to see a friend
경치2|scenery|아름다운 경치|beautiful scenery|경치를 구경하다|to enjoy the scenery
이렇다|to be like this|이런 날씨|this kind of weather|이렇게 해요|do it like this
때1|time|그 때|at that time|언제 때|what time
누가|who|누가 왔어요|who came|누가 그랬어요|who said that
더1|more|더 많이|more|더 좋다|to be better
주다1|to give|선물을 주다|to give a gift|도움을 주다|to give help
얼마|how much|얼마예요|how much is it|얼마나 멀어요|how far is it
진짜|really|진짜 좋다|really good|진짜 예뻐요|really pretty
가다1|to go|학교에 가다|to go to school|집에 가다|to go home
치마1|skirt|긴 치마|long skirt|치마를 입다|to wear a skirt
너무1|too|너무 비싸다|too expensive|너무 좋아요|too good
년2|year|작년에|last year|내년에|next year
닦다1|to wipe|바닥을 닦다|to wipe the floor|창문을 닦다|to wipe the window
또|again|또 만나요|see you again|또 왔어요|came again
한1|one|한 개|one piece|한 시간|one hour
박물관|museum|역사 박물관|history museum|박물관에 가다|to go to the museum
그렇다|to be so|그런 사람|such a person|그렇게 해요|do it that way
말1|words|좋은 말|good words|말과 글|words and writing
산책|walk|공원에서 산책|walk in the park|산책을 하다|to take a walk
좋다1|to be good|날씨가 좋다|the weather is good|좋은 사람|good person
일1|work|회사 일|company work|일을 하다|to work
빵1|bread|맛있는 빵|delicious bread|빵을 먹다|to eat bread
알다|to know|이름을 알다|to know the name|잘 알아요|know well
때문|because of|비 때문에|because of rain|바쁜 때문에|because of being busy
노르웨이|Norway|노르웨이 여행|trip to Norway|노르웨이 사람|Norwegian person
먹다1|to deceive|귀를 먹다|to go deaf|나이를 먹다|to get older
말하다|to speak|한국말 하다|to speak Korean|진실을 말하다|to tell the truth
체육관|gymnasium|체육관에서 운동하다|to exercise in the gym|학교 체육관|school gymnasium
왜2|why|왜 그래요|why is that|왜 안 와요|why aren't you coming
그러나|however|그러나 문제가 있다|however there's a problem|그러나 괜찮아요|however it's okay
말씀드리다|to tell respectfully|말씀드릴 게 있어요|I have something to tell you|안녕히 말씀드려요|goodbye (respectfully)
어떻다|to be how|어떤 사람|what kind of person|어때요|how is it
오다1|to come|집에 오다|to come home|내일 오세요|please come tomorrow
한글날|Hangul Day|한글날 행사|Hangul Day event|한글날을 기념하다|to commemorate Hangul Day
많이|a lot|많이 먹다|to eat a lot|많이 도와주세요|please help a lot
씨7|Mr./Ms.|김 씨|Mr./Ms. Kim|박 씨 댁|Mr./Ms. Park's house
바람이|wind|바람이 불다|wind blows|시원한 바람|cool breeze
싶다|to want to|가고 싶다|to want to go|먹고 싶어요|I want to eat
크다1|to be big|큰 집|big house|크게 말하다|to speak loudly
방학|vacation|여름 방학|summer vacation|방학 계획|vacation plans
많다|to be many|사람이 많다|there are many people|돈이 많아요|there's a lot of money
일7|day|하루 종일|all day long|며칠 전|a few days ago
가르치다1|to teach|한국어를 가르치다|to teach Korean|학생을 가르치다|to teach students
오늘|today|오늘 날씨|today's weather|오늘 밤|tonight
안2|not|안 좋다|not good|안 와요|not coming
청소하다3|to clean|방을 청소하다|to clean the room|매일 청소하다|to clean daily
받다1|to receive|선물을 받다|to receive a gift|돈을 받다|to receive money
그것|that|그것 좀 주세요|please give me that|그것은 뭐예요|what is that
서핑|surfing|서핑을 배우다|to learn surfing|서핑 보드|surfboard
뭐|what|뭐 해요?|what are you doing?|뭐가 좋아요?|what do you like?
집1|house|우리 집|our house|집에 가다|to go home
고프다|to be hungry|배가 고프다|to be hungry|고픈 아이|hungry child
만들다|to make|음식을 만들다|to make food|친구를 만들다|to make friends
나오다|to come out|밖으로 나오다|to come outside|결과가 나오다|results come out
가볍다|to be light|가벼운 가방|light bag|마음이 가볍다|to feel relieved
그냥|just|그냥 집에 있어요|just stay home|그냥 괜찮아요|it's just fine
그리고|and|사과 그리고 바나나|apple and banana|공부하고 그리고 놀다|study and then play
교실|classroom|우리 교실|our classroom|교실에 들어가다|to enter the classroom
생각1|thought|좋은 생각|good idea|생각이 나다|to come to mind
문제6|problem|어려운 문제|difficult problem|문제가 생기다|a problem arises
잔3|cup|물 한 잔|a cup of water|커피 두 잔|two cups of coffee
생각하다|to think|열심히 생각하다|to think hard|생각해 보다|to think about it
살다1|to live|서울에서 살다|to live in Seoul|행복하게 살다|to live happily
게임|game|컴퓨터 게임|computer game|게임을 하다|to play a game
씨1|seed|꽃씨를 심다|to plant flower seeds|좋은 씨|good seed
저3|I|저는 학생이에요|I am a student|저도 가요|I'm going too
아니요|no|아니요, 괜찮아요|no, it's okay|아니요, 안 해요|no, I don't do it
야4|hey|야, 이리 와|hey, come here|야, 뭐 해?|hey, what are you doing?
못하다|cannot|못하는 일|things I cannot do|한국말 못해요|I can't speak Korean
드시다|to eat/drink|식사를 드시다|to have a meal|차를 드시다|to drink tea
앵커|anchor|뉴스 앵커|news anchor|앵커가 되다|to become an anchor
모르다|to not know|잘 모르다|to not know well|모르는 사람|person I don't know
스케이트장|skating rink|스케이트장에 가다|to go to skating rink|실내 스케이트장|indoor skating rink
대하다2|to treat|친절하게 대하다|to treat kindly|손님을 대하다|to treat guests
속1|inside|마음속|inside the heart|가방 속|inside the bag
한번|once|한번 해보다|try once|한번 더|once more
등1|back|등을 맞대다|back to back|등이 아프다|back hurts
두1|two|두 명|two people|두 시간|two hours
프랑스말|French|프랑스말을 배우다|learn French|프랑스말로 말하다|speak in French
위하다1|to be for|가족을 위하다|for the family|건강을 위하다|for health
앞|front|앞에 서다|stand in front|앞으로 가다|go forward
연락하다2|to contact|친구에게 연락하다|contact a friend|나중에 연락하다|contact later
못1|nail|못을 박다|hammer a nail|벽에 못|nail on the wall
어떤|what kind of|어떤 사람|what kind of person|어떤 음식|what kind of food
입다1|to wear|옷을 입다|wear clothes|정장을 입다|wear a suit
다시1|again|다시 해보다|try again|다시 만나다|meet again
잘2|well|잘 하다|do well|잘 지내다|get along well
삼계탕|ginseng chicken soup|삼계탕을 끓이다|cook ginseng chicken soup|삼계탕 한 그릇|a bowl of ginseng chicken soup
들어가다1|to go in|방에 들어가다|go into the room|집에 들어가다|go into the house
먹다2|to eat|밥을 먹다|eat rice|과일을 먹다|eat fruit
기자5|reporter|신문 기자|newspaper reporter|기자가 되다|become a reporter
맞다1|to be correct|답이 맞다|the answer is correct|맞는 말|correct words
원1|won|천 원|one thousand won|만 원|ten thousand won
책1|book|책을 읽다|read a book|새 책|new book
그거|that thing|그거 뭐야|what is that|그거 주세요|give me that
명3|people|한 명|one person|두 명|two people
생일2|birthday|생일 파티|birthday party|생일 선물|birthday gift
예1|past|예나 지금이나|past and present|예전처럼|like before
다른|other|다른 사람|other person|다른 방법|other method
여행하다1|to travel|해외여행하다|to travel abroad|가족여행하다|to travel with family
친구2|friend|좋은 친구|good friend|친구를 만나다|to meet a friend
이런1|like this|이런 일|this kind of thing|이런 사람|this kind of person
식사하다2|to have a meal|점심식사하다|to have lunch|함께 식사하다|to have a meal together
안1|inside|집 안|inside the house|방 안|inside the room
여자2|woman|예쁜 여자|pretty woman|여자친구|girlfriend
추다2|to dance|춤을 추다|to dance|함께 추다|to dance together
조금1|a little|조금 더|a little more|조금씩|little by little
개10|counter|한 개|one piece|두 개|two pieces
만1|only|십 년 만에|after ten years|오랜만에|after a long time
맛있다|to be delicious|맛있는 음식|delicious food|맛있게 먹다|to eat deliciously
뒤1|back|집 뒤|behind the house|뒤에서|from behind
준비하다|to prepare|시험을 준비하다|to prepare for an exam|준비가 되다|to be ready
여러분|everyone|여러분 안녕하세요|hello everyone|여러분 모두|all of you
듣다1|to hear|소리를 듣다|to hear a sound|음악을 듣다|to listen to music
볼펜2|ballpoint pen|파란 볼펜|blue ballpoint pen|볼펜으로 쓰다|to write with a ballpoint pen
시간4|time|시간이 없다|no time|시간을 보내다|to spend time
다3|all|다 먹다|to eat all|다 끝나다|to be all finished
공항2|airport|인천공항|Incheon Airport|공항에 가다|to go to the airport
어디1|where|어디에 가다|to go where|어디서|from where
좀2|a little|좀 더|a little more|좀 천천히|a little slowly
샤워하다|to shower|샤워를 하다|to take a shower|뜨거운 샤워|hot shower
엄마|mom|우리 엄마|my mom|엄마한테|to mom
들다1|to enter|여관에 들다|to enter an inn|방에 들다|to enter a room
바꾸다|to change|옷을 바꾸다|to change clothes|돈을 바꾸다|to exchange money
중4|middle|중학교|middle school|중간 지점|middle point
가지다|to have|돈을 가지다|to have money|생각을 가지다|to have an idea
향수4|perfume|향수를 뿌리다|to spray perfume|좋은 향수|good perfume
괜찮다|to be okay|괜찮은 사람|decent person|괜찮아요|it's okay
함께|together|함께 가다|to go together|함께 살다|to live together
언니|older sister|언니한테 말하다|to tell older sister|친언니|real older sister
소리1|sound|큰 소리|loud sound|소리를 내다|to make a sound
아이1|child|작은 아이|small child|아이를 키우다|to raise a child
세우다1|to build|집을 세우다|to build a house|기념비를 세우다|to erect a monument
마음1|heart|마음이 좋다|to be kind-hearted|마음을 바꾸다|to change one's mind
너1|you|너는 누구니|who are you|너를 사랑해|I love you
전화를|telephone|전화를 걸다|to make a call|전화를 받다|to answer the phone
