Index|Korean|English|Frequency
2급 읽이 2과 2항 18단어|작은어머니|aunt (wife of one's father's younger brother)|224.2353539204
2급 읽이 5과 1항 12단어|직접|directly or personally|232
2급 읽이 15과 2항 6단어|신용 카드|credit card|234.393652305789
2급 문법 11과 1항 22단어|내다|to pay|236
2급 읽이 12과 1항 15단어|중간시험|midterm|236.284678767399
2급 읽이 17과 1항 4단어|세상|world|246
2급 문법 15과 2항 10단어|현재|present|247
2급 읽이 9과 1항 7단어|너희|you|248
2급 읽이 13과 2항 18단어|하루|one day|249
2급 읽이 1과 2항 17단어|필요하다|to need|254
2급 문법 19과 1항 12단어|여행자보험|traveler's insurance|255.208470673754
2급 읽이 12과 2항 4단어|신청 결과|registration result|257.075054640118
2급 문법 19과 2항 7단어|국내여행|domestic trip|257.17291363402
2급 문법 11과 1항 7단어|교통카드|transportation card|258.196339594638
2급 문법 11과 1항 2단어|을지로입구역|Euljiro-ipgu Station|259.045783816342
2급 문법 18과 1항 5단어|밤|night|261
2급 읽이 2과 2항 5단어|삼촌|uncle (brother of one's father)|261.294612259296
2급 읽이 6과 1항 12단어|특히|especially|262
2급 문법 2과 3항 2단어|목소리|voice|264
2급 읽이 2과 2항 4단어|큰어머니|aunt (wife of one's father's older brother)|267.683779532926
2급 읽이 2과 1항 7단어|귀엽다|to be cute|270
2급 읽이 16과 2항 18단어|어린이|child|272
2급 읽이 10과 2항 3단어|음|um|277
2급 읽이 11과 1항 10단어|을지로 3가역|Euljiro 3(sam)-ga station|277.222578496472
2급 문법 9과 8항 3단어|후|after|279
2급 읽이 9과 2항 11단어|지키다|to keep|284
2급 읽이 1과 1항 16단어|다니다|to attend|285
2급 읽이 13과 1항 1단어|현금 자동 인출기|automatic teller machine (ATM)|285.626586322776
2급 읽이 13과 1항 15단어|다운로드받다|to download|288.765781625445
2급 읽이 1과 1항 9단어|열심히|diligently|291
2급 문법 14과 2항 11단어|확인하다|to confirm|292
2급 읽이 3과 2항 5단어|이렇게|like this|297.258205722181
2급 읽이 20과 2항 13단어|짜증나다|to be irritated|298.055939610422
2급 문법 8과 9항 1단어|꽃바구니|flower basket|301.225913003553
2급 읽이 13과 1항 13단어|인터넷 전문은행|Internet-only bank|301.855015920982
2급 문법 13과 1항 5단어|잠시|a little while or moment|302
2급 문법 13과 1항 6단어|계좌번호|account number|302.519324055046
2급 문법 9과 9항 9단어|아흔|ninety|307.207873012948
2급 문법 6과 8항 3단어|항상|always|309
2급 읽이 7과 2항 2단어|비슷하다|to be similar|311
2급 문법 15과 1항 6단어|남다|to remain|312
2급 읽이 11과 1항 6단어|교통 카드|transportation card|313.751867565096
2급 읽이 13과 2항 13단어|가격|price|315
2급 읽이 1과 1항 4단어|무역회사|trade company|319.548251065541
2급 문법 17과 1항 6단어|공상과학영화|science fiction movie|321.658197927579
2급 읽이 9과 1항 14단어|원하다|to want|334
2급 읽이 7과 2항 19단어|넘다|to go over or exceed|335
2급 읽이 15과 1항 14단어|알리다|to let know or inform|338
2급 읽이 11과 1항 14단어|압구정역|Apgujeong station|338.140023235057
2급 문법 10과 3항 4단어|늘다|to increase or improve|340
2급 읽이 5과 1항 26단어|치맥|chicken and beer|340.422480853702
2급 읽이 6과 1항 11단어|장을 보다|to go grocery shopping|348.791942111198
2급 문법 11과 1항 6단어|노선도|route map|349.63557936015
2급 문법 20과 2항 3단어|오르다|to go up|350
2급 문법 17과 1항 7단어|공포영화|horror movie|352.238740039187
2급 문법 20과 2항 13단어|다림질하다|to iron|355.799601395416
2급 읽이 7과 1항 16단어|모양|appearance or form|358
2급 읽이 9과 1항 3단어|선배|upperclassman or senior|359
2급 문법 5과 8항 1단어|고기|meat|359.305247520573
2급 문법 10과 8항 5단어|전하다|to deliver or hand over|360
2급 읽이 9과 1항 4단어|전혀|entirely or not at all|364
2급 읽이 1과 2항 21단어|관심|interest|366
2급 읽이 1과 1항 17단어|걱정|worry|367
2급 문법 16과 1항 2단어|두통|headache|367.708287504385
2급 문법 16과 1항 4단어|나다|to have|373
2급 읽이 7과 2항 13단어|의미|meaning|380
2급 읽이 3과 2항 8단어|해운대|Haeundae|382.120749723169
2급 문법 8과 8항 5단어|주방용품|kitchen products|383.405512641658
2급 읽이 1과 2항 12단어|교수|professor|384
2급 문법 17과 2항 3단어|조깅하다|to go jogging|391.887117479025
2급 읽이 19과 1항 1단어|주변|nearby|392
2급 문법 10과 2항 3단어|설명하다|to explain|394
2급 읽이 2과 1항 4단어|목소리가 좋다|to have a good voice|394.969735095618
2급 읽이 19과 1항 9단어|이용하다|to use|400
2급 읽이 3과 2항 2단어|행복하다|to be happy|401
2급 읽이 9과 1항 8단어|벌써|already|402
2급 문법 16과 1항 18단어|몸이 떨리다|to tremble in the body|402.748838900614
2급 읽이 6과 2항 5단어|축구화|soccer shoes|403.483425803376
2급 문법 2과 2항 4단어|도와주다|to help|404
2급 읽이 12과 2항 10단어|언어 교환|language exchange|404.496923547306
2급 읽이 17과 1항 11단어|이상하다|to be strange|405
2급 문법 14과 2항 10단어|싸우다|to fight|406
2급 읽이 15과 2항 13단어|거리|distance|408
2급 읽이 1과 1항 12단어|곧|soon|410
2급 문법 14과 2항 8단어|지우다|to erase|412.125198155953
2급 문법 11과 2항 1단어|기사|driver|415
2급 읽이 3과 2항 16단어|냄새|smell or odor|416
2급 읽이 15과 1항 1단어|기회|opportunity|417
2급 문법 15과 1항 16단어|초|the beginning|419
2급 문법 4과 9항 10단어|걸다|to hang|421
2급 읽이 12과 2항 15단어|편|counting word for movies, poems, or musicals|422
2급 읽이 4과 1항 14단어|알아보다|to search or look into|429
2급 문법 20과 2항 2단어|그러면|then|430.761274950486
2급 읽이 15과 1항 11단어|성함|name|434.546082379424
2급 문법 19과 2항 4단어|옛날|ancient times|436
2급 읽이 10과 1항 1단어|부탁을 하다|to ask a favor or make a request|436.609267224669
2급 문법 2과 3항 11단어|입|mouth|439
2급 읽이 19과 2항 9단어|한옥 마을|Hanok Village|441.726360115055
2급 문법 19과 2항 9단어|배낭여행|backpacking|442.744311652255
2급 읽이 13과 1항 7단어|뽑다|to pull out|444
2급 문법 17과 1항 2단어|즐기다|to enjoy|445
2급 문법 12과 1항 1단어|자꾸|frequently|455
2급 읽이 15과 1항 10단어|잠시만요|please hold|455.484549398254
2급 읽이 18과 2항 7단어|관계|relationship|458
2급 문법 12과 2항 5단어|결과|result|459
2급 문법 17과 2항 18단어|키우다|to bring up or raise|461
2급 읽이 1과 2항 24단어|이해하다|to understand|466
2급 읽이 15과 2항 4단어|배달 시키다|to order for delivery|468.227345134362
2급 읽이 15과 1항 4단어|분위기|atmosphere|469
2급 문법 9과 2항 4단어|지나다|to pass|470
2급 문법 16과 2항 9단어|기침약|cough medicine|472.948782617939
2급 읽이 5과 2항 34단어|꺼내다|to take out|483
2급 읽이 16과 1항 4단어|환자|patient|489
2급 읽이 5과 1항 31단어|프라이드치킨|fried chicken|491.058110890955
2급 읽이 16과 1항 11단어|검사|exam|495
2급 읽이 10과 1항 6단어|고장 나다|to break|495.566086300922
2급 읽이 7과 1항 17단어|매우|very or excessively|496.194929045052
2급 읽이 11과 2항 18단어|돌리다|to turn around|497
2급 읽이 1과 2항 14단어|멋있다|to be fashionable or cool|498
2급 읽이 7과 1항 8단어|어울리다|to match with or go together|499
2급 읽이 19과 1항 3단어|여행 기간|travel period|502.523238601716
2급 문법 18과 2항 10단어|매달|every month|503.246956892452
2급 문법 14과 2항 1단어|방금|just now|507
2급 읽이 4과 1항 13단어|잊다|to forget|509
2급 문법 17과 2항 2단어|치다|to play (the piano)|513
2급 읽이 15과 2항 16단어|배달비|delivery fee|513.190082136817
2급 읽이 20과 2항 12단어|방송|broadcasting|515
2급 읽이 8과 1항 12단어|맛집|popular local restaurant|517.033615741188
2급 읽이 19과 2항 14단어|마을|village|519
2급 읽이 3과 2항 15단어|와이키키 해변|Waikiki beach|523.491247047158
2급 문법 1과 2항 4단어|점점|eventually|524
2급 문법 9과 9항 13단어|일흔|seventy|524.72601822645
2급 문법 17과 1항 3단어|아무리|no matter how|525
2급 문법 14과 2항 3단어|캠핑장|camping site|528.230795054858
2급 읽이 6과 1항 8단어|손님|customer|531
2급 읽이 6과 2항 7단어|인터넷쇼핑|internet shopping|537.735283492495
2급 읽이 11과 1항 8단어|특실|first class|538.539073220318
2급 읽이 20과 2항 14단어|공기 청정기|air purifier|539.328016145066
2급 읽이 3과 1항 16단어|구경거리|tourist attraction|540.192624848828
2급 문법 20과 2항 18단어|왜냐하면|because|544
2급 읽이 18과 2항 4단어|사업을 하다|to do business|544.895283846676
2급 읽이 4과 1항 4단어|싸다|to pack|555
2급 읽이 14과 1항 11단어|위험하다|to be dangerous|561
2급 문법 7과 9항 16단어|저렇다|to be like that|563
2급 문법 17과 1항 14단어|전쟁영화|war movie|563.373867616972
2급 읽이 11과 1항 9단어|당산역|Dangsan station|564.685695006719
2급 문법 15과 1항 15단어|예약석|reserved seats|564.806494847033
2급 읽이 5과 2항 1단어|면|noodles|566
2급 읽이 10과 1항 14단어|적다|to write|568
2급 문법 13과 2항 11단어|우편번호|zip code|569.588607446986
2급 읽이 12과 2항 3단어|신청 기간|registration period|571.393039080307
2급 문법 12과 1항 10단어|대답하다|to reply or answer|576
2급 읽이 1과 1항 8단어|즐겁다|to be happy or enjoyable|577
2급 읽이 13과 1항 9단어|인터넷 뱅킹|online banking|582.845143183967
2급 읽이 4과 1항 18단어|밝다|to be bright|583
2급 읽이 1과 2항 25단어|생기다|to come into being|595
2급 문법 16과 1항 24단어|붓다²|to pour|595.12626860869
2급 읽이 14과 1항 5단어|음성 메시지|voice message|596.219365942009
2급 읽이 3과 2항 12단어|호놀룰루|Honolulu|597.447441319161
2급 읽이 9과 1항 10단어|이가/가|(placed after a name used as a subject of a sentence)|598.327165721981
2급 문법 20과 2항 1단어|종일|all day|598.473368693697
2급 문법 16과 2항 2단어|다치다|to get hurt or injured|599
2급 읽이 12과 1항 13단어|천천히|slowly|602
2급 읽이 10과 1항 2단어|부탁이 있다|to have a request|602.745552053855
2급 읽이 16과 2항 13단어|평소|usually|606
2급 읽이 10과 2항 18단어|지나가다|to go past|607
2급 문법 12과 1항 7단어|기억하다|to remember|612
2급 문법 16과 2항 6단어|바르다|to apply|613
2급 문법 15과 2항 7단어|과거|past|615
2급 읽이 10과 1항 9단어|설명|explanation|616
2급 읽이 1과 1항 15단어|오랜만|after a long time|618
2급 읽이 10과 1항 11단어|걱정하다|to worry|622
2급 문법 19과 1항 1단어|-박|nights|622.445807866979
2급 문법 12과 1항 12단어|발표하다|to announce or make a presentation|623
2급 문법 20과 2항 8단어|비옷|raincoat|628.760619530176
2급 문법 19과 1항 19단어|팬|fan|630
2급 읽이 18과 2항 8단어|걱정이 되다|to be worried|632.447671563822
2급 읽이 19과 1항 4단어|-박 -일|_days and _ nights|633.729862794465
2급 읽이 5과 1항 10단어|만두|steamed bun or dumpling|636.876489368967
2급 읽이 3과 1항 5단어|도시|city|638
2급 읽이 20과 1항 11단어|차이|difference|641
2급 문법 19과 2항 11단어|자유여행|free traveling|641.264272224538
2급 읽이 5과 2항 9단어|따로|separately|642
2급 문법 4과 9항 6단어|서재|a study or library|642.486362113229
2급 읽이 2과 2항 15단어|태어나다|to be born|643
2급 읽이 1과 2항 3단어|국어국문학|Korean language and literature|654.597654146732
2급 읽이 12과 2항 12단어|정확하다|to be correct or exact|656
2급 읽이 9과 1항 12단어|드디어|finally|657
2급 문법 14과 2항 12단어|가까이|near or nearby|661
2급 문법 1과 3항 1단어|광고 회사|advertising company|662.463741777112
2급 읽이 16과 1항 9단어|열이 나다|to have a fever|666.166982878312
2급 문법 18과 1항 1단어|경험|experience|668
2급 읽이 1과 2항 5단어|돕다|to help|669
2급 읽이 9과 1항 22단어|살|years or age|675
2급 문법 19과 2항 5단어|신기하다|to be wonderful or marvelous|679
2급 문법 8과 9항 15단어|박수를 치다|to applaud|682.680544684716
2급 읽이 5과 1항 29단어|선택하다|to choose|684
2급 읽이 2과 2항 2단어|외숙모|aunt (wife of one's mother's brother)|685.978703640859
2급 읽이 1과 2항 18단어|및|and|691
2급 문법 16과 1항 16단어|뜨겁다|to be hot|692
2급 읽이 10과 2항 8단어|체크카드|debit card|692.116011091508
2급 문법 11과 2항 7단어|세우다|to stop|694
2급 읽이 1과 2항 16단어|자기소개서|personal statement|694.718244188812
2급 문법 18과 1항 7단어|낮|day|695
2급 문법 17과 1항 5단어|가족영화|family movie|697.472269581012
2급 읽이 8과 1항 14단어|미리|in advance|698
2급 문법 13과 1항 7단어|공과금|utility bill|698.028922259049
2급 읽이 20과 1항 21단어|일기예보|weather forecast|699.929102464286
2급 읽이 20과 1항 20단어|도|degree|705
2급 읽이 16과 1항 5단어|배탈나다|to have a stomach disorder|706.677862396444
2급 문법 16과 1항 8단어|감기|cold|707.702122973781
2급 읽이 10과 1항 4단어|부탁을 들어주다|to do a favor or fulfill a request|707.816853734065
2급 문법 15과 1항 5단어|선택|selection or choice|709
2급 문법 16과 1항 27단어|짓다|to build|711
2급 문법 11과 2항 8단어|광장시장|Gwangjang market|711.449082875667
2급 문법 9과 9항 12단어|예순|sixty|711.494676140656
2급 문법 2과 3항 4단어|어깨|shoulder|713
2급 문법 20과 1항 6단어|남이섬|Nami Island|715.912454714532
2급 읽이 18과 1항 9단어|계획대로|as planned|716.167698022424
2급 문법 19과 1항 2단어|-일|days|716.520851013545
2급 읽이 2과 1항 11단어|성격이 좋다|to have a good personality|716.986130379642
2급 문법 14과 1항 6단어|속도|speed|727
2급 문법 18과 1항 3단어|벌다|to make or earn (money)|733
2급 읽이 17과 1항 5단어|장면|scene|738
2급 읽이 12과 2항 14단어|모든|all|739.402276912182
2급 읽이 3과 2항 10단어|캘리포니아|California|741.283605729965
2급 문법 8과 9항 5단어|세제|detergent|743.746672626059
2급 읽이 16과 1항 14단어|낫다|to recover or get well|744
2급 읽이 14과 1항 4단어|동영상을 보다|to watch a video|744.15076393191
2급 문법 17과 1항 8단어|동물|animal|745
2급 문법 8과 9항 16단어|발로 차다|to kick|749.503201303999
2급 문법 16과 1항 23단어|피|blood|750
2급 문법 13과 1항 15단어|환전|exchange of money|751.325509647796
2급 읽이 10과 1항 12단어|서비스센터|service center|752.675138035163
2급 문법 5과 3항 4단어|삼성역|Samseong subway station|755.200779977255
2급 문법 19과 2항 6단어|가족여행|family trip|755.585990128252
2급 읽이 7과 1항 13단어|유행이다|to be in fashion or popular|756.037095810632
2급 읽이 11과 1항 16단어|사인회|autograph convention|757.188111542403
2급 문법 4과 9항 7단어|수건|towel|760.038241214569
2급 읽이 11과 2항 13단어|기억에 남다|to remain in one's memory|763.806839750303
2급 문법 13과 1항 14단어|현금자동인출기|automatic teller machine (ATM)|764.083120676737
2급 읽이 20과 2항 9단어|여의도공원|Yeouido Park|766.828102559293
2급 읽이 12과 2항 8단어|등록취소|cancellation of registration|771.631794731831
2급 문법 19과 2항 8단어|단체관광|group tour|772.076785254837
2급 읽이 6과 2항 3단어|스포츠용품|sporting goods|774.708713320763
2급 읽이 2과 1항 10단어|안경을 끼다|to wear glasses|776.135365503687
2급 읽이 9과 2항 16단어|금방|soon or at once|778
2급 문법 6과 3항 7단어|대회|conference or convention|788
2급 읽이 5과 1항 18단어|중에서|from among|789.450815511503
2급 읽이 4과 1항 17단어|어둡다|to be dark|790
2급 읽이 8과 2항 1단어|집들이|housewarming party|791.625779253451
2급 읽이 4과 2항 13단어|건물|building|792
2급 문법 7과 3항 13단어|뛰다|to run or jump|793
2급 문법 20과 2항 19단어|그러나|but or however|794.327187314775
2급 읽이 3과 2항 18단어|특별하다|to be special|796
2급 문법 11과 1항 12단어|스크린도어|screen door|796.839489932571
2급 읽이 10과 1항 3단어|부탁을 받다|be asked a favor or receive a request|797.514089628084
2급 읽이 8과 2항 12단어|디퓨저|diffuser|798.420289963074
2급 읽이 2과 1항 12단어|교육학|educational studies|799.321329197953
2급 문법 7과 3항 2단어|색깔|color|802
2급 읽이 2과 2항 8단어|이모|aunt (sister of one's mother)|803.628435659533
2급 문법 14과 2항 14단어|멀리|far away|805
2급 읽이 15과 2항 11단어|간단하다|to be simple or easy|807
2급 문법 14과 1항 2단어|고장나다|to break down or be broken|808.77364522814
2급 읽이 3과 1항 9단어|위치|position|809
2급 읽이 19과 1항 12단어|여행 일정|itinerary|812.794670343568
2급 읽이 1과 1항 21단어|일기|journal|816.490230335394
2급 읽이 5과 2항 36단어|담다|to put in|818
2급 문법 20과 1항 2단어|강하다|to be strong|822
2급 읽이 1과 1항 14단어|다녀오다|to go and then come back|826
2급 문법 17과 1항 10단어|멜로영화|melodramatic movie|828.51419403646
2급 문법 5과 9항 24단어|두다|to put or place|829
2급 문법 5과 3항 11단어|인사동|Insa-dong|829.687773588909
2급 읽이 17과 1항 7단어|공상 과학|science fiction|833.89546732173
2급 문법 15과 2항 1단어|신용카드|credit card|836.805731305154
2급 읽이 17과 1항 10단어|거의|almost or hardly|837.262719950872
2급 읽이 1과 1항 5단어|스튜어디스|flight attendant|838.520683177375
2급 문법 6과 9항 14단어|쓰다|to use|840
2급 읽이 4과 1항 6단어|불편하다|to be inconvenient or uncomfortable|841
2급 문법 15과 1항 2단어|서비스|service|842
2급 읽이 11과 2항 16단어|주차료|parking fee|845.365616733194
2급 읽이 12과 2항 13단어|오리엔테이션|orientation|850.008971828427
2급 문법 16과 1항 17단어|목이 쉬다|to have a hoarse throat|851.524394459655
2급 문법 18과 2항 1단어|결정하다|to decide|852
2급 문법 16과 1항 22단어|상처|injury or wound|853
2급 읽이 9과 1항 5단어|앞으로|from now on or in the future|856.883456513386
2급 문법 8과 9항 3단어|샤부샤부|shabu shabu|857.756307711756
2급 읽이 9과 2항 5단어|연습|practice|858
2급 읽이 18과 1항 8단어|순서대로|in order|861.850677193667
2급 읽이 8과 2항 2단어|와인|wine|862
2급 문법 2과 3항 1단어|귀|ear|864
2급 문법 20과 1항 4단어|내리다|to come down|865
2급 읽이 17과 1항 18단어|드라마|drama|866
2급 읽이 19과 1항 5단어|숙박 시설|accommodations|867.200780414421
2급 읽이 15과 1항 5단어|카페|café|868
2급 읽이 4과 2항 5단어|정리하다|to arrange or organize|869
2급 읽이 4과 2항 7단어|새로|newly|869.410986510733
2급 읽이 4과 1항 2단어|이삿짐센터|moving company|869.794015566425
2급 읽이 20과 2항 16단어|땀 흘리다|to sweat|873.544318783176
2급 읽이 16과 1항 12단어|깁스를 하다|to wear a cast|873.580365333736
2급 읽이 14과 1항 8단어|기능|skill or function|881
2급 읽이 20과 2항 17단어|목이 마르다|to be thirsty|885.720691402432
2급 문법 4과 9항 5단어|벽|wall|886
2급 읽이 10과 1항 8단어|문화|culture|888
2급 읽이 13과 2항 19단어|팔다|to sell|893
2급 문법 10과 8항 2단어|이미|already|903.208433445006
2급 읽이 16과 1항 3단어|감기에 걸리다|to catch a cold|904.295354829137
2급 문법 11과 2항 12단어|막히다|to be stuck|905
2급 문법 17과 1항 13단어|만화영화|animated film|906.577649154652
2급 문법 3과 9항 7단어|화가 나다|to be angry|910.066449111646
2급 문법 10과 2항 2단어|들어주다|to do (a favor)|914.657914188299
2급 문법 16과 2항 12단어|변비약|constipation medicine|916.993164833768
2급 읽이 9과 2항 13단어|어쩔 수 없다|there is nothing one can do about something|921.45795720943
2급 문법 18과 2항 13단어|초등학교|elementary school|922
2급 문법 16과 1항 5단어|심하다|to be severe|931
2급 문법 9과 9항 4단어|쉰|fifty|934.04365563146
2급 읽이 10과 2항 19단어|음성안내기|voice guide|934.273701534568
2급 읽이 6과 2항 1단어|패션잡화|fashion goods|934.765083655717
2급 문법 16과 2항 15단어|토픽(TOPIK)|Test of Proficiency in Korean|939.380557967901
2급 읽이 4과 2항 6단어|나중에|later|943.493080274472
2급 읽이 9과 1항 1단어|아/야|(used after a name when being called)|954.241581797591
2급 문법 20과 2항 20단어|하지만|but or however|954.799700974668
2급 문법 2과 3항 6단어|코|nose|956
2급 문법 20과 1항 7단어|미세먼지|fine dust|957.550389390825
2급 문법 6과 9항 5단어|남성복|men's clothing|960.449401001666
2급 문법 9과 3항 8단어|진지|meal or food in honorific form|961.490349531278
2급 읽이 8과 1항 6단어|환영회|reception|962.94181803505
2급 문법 2과 3항 8단어|무릎|knee|969
2급 읽이 19과 2항 2단어|단체 관광|group tour|969.089072312581
2급 문법 13과 2항 12단어|크기|size|969.193613700589
2급 문법 13과 2항 7단어|배편|by ship|971.359892291022
2급 문법 16과 2항 4단어|치료|treatment|974
2급 문법 1과 9항 8단어|영문학|English literature|977.494992202383
2급 문법 5과 9항 13단어|쓰레기|trash|984
2급 읽이 9과 1항 9단어|그래|yes or okay|985.229495019573
2급 문법 20과 2항 5단어|마스크|mask|987
2급 읽이 10과 2항 12단어|출입국관리사무소|Immigration Office|993.642080321499
2급 문법 2과 2항 2단어|성격|personality|994
2급 읽이 17과 2항 4단어|강아지|puppy|995
2급 읽이 16과 1항 8단어|기침을 하다|to cough|995.155385476856
2급 문법 4과 3항 2단어|약도|map|996.832923769167
2급 문법 11과 1항 23단어|누르다|to press or push|999
2급 읽이 7과 1항 11단어|디자인|design|1001
2급 읽이 16과 2항 20단어|흔들다|to shake|1005
2급 읽이 9과 2항 14단어|몸|body|1008
2급 문법 18과 1항 12단어|어른|adult|1010
2급 문법 3과 3항 4단어|숲|forest|1014
2급 읽이 15과 2항 12단어|종류|type or sort|1018
